"cnes","ano","te_sfa"
8028,2015,0.925362016113364
8036,2015,0.909824407934444
8052,2015,0.699814672710671
8923,2015,0.923846617240217
9601,2015,0.489275272398243
9628,2015,0.955893396263177
2022621,2015,0.810714024971508
2022648,2015,0.772775072394698
2023016,2015,0.840562655083041
2023474,2015,0.919692447261715
2023709,2015,0.840333503565062
2024691,2015,0.790604777964546
2024756,2015,0.782036012367663
2025361,2015,0.905801116013142
2025477,2015,0.772497626798798
2025507,2015,0.800965011745314
2025752,2015,0.624216597760816
2026805,2015,0.744974626841448
2027186,2015,0.877567645189196
2027356,2015,0.935137934145412
2028204,2015,0.625444597455495
2028239,2015,0.862211135268339
2028840,2015,0.532830374876987
2040069,2015,0.918707099168164
2058308,2015,0.858228353993661
2058790,2015,0.926838761863576
2065665,2015,0.804233344661652
2066092,2015,0.999435971988097
2066572,2015,0.777346196898579
2069776,2015,0.919722632593162
2071371,2015,0.707539364201165
2071568,2015,0.795751644804647
2075717,2015,0.872549343415946
2075962,2015,0.878508053820292
2076896,2015,0.920036843956561
2076926,2015,0.903256609192751
2076985,2015,0.285374057034358
2077388,2015,0.914103061038792
2077396,2015,0.951498164533836
2077426,2015,0.999435200653151
2077434,2015,0.999432510378314
2077450,2015,0.921249050761985
2077477,2015,0.883094303390338
2077485,2015,0.89893358087232
2077493,2015,0.830440863023351
2077507,2015,0.0544894251557315
2077523,2015,0.906485775308666
2077531,2015,0.488200933894867
2077574,2015,0.999434723106153
2077582,2015,0.820401688471717
2077590,2015,0.628599615872528
2077620,2015,0.999434870090299
2077639,2015,0.91135209802673
2077647,2015,0.753618826603935
2077655,2015,0.458721936041815
2077671,2015,0.999434842602083
2077701,2015,0.853234415676847
2078015,2015,0.96244677567656
2078074,2015,0.790454996309638
2078104,2015,0.999435009608154
2078139,2015,0.873948577226984
2078155,2015,0.633461609785129
2078252,2015,0.878628864354138
2078287,2015,0.762401014978555
2078295,2015,0.86022245990944
2078325,2015,0.942712516150162
2078414,2015,0.788195992812947
2078465,2015,0.589473598440076
2078473,2015,0.904180176587224
2078503,2015,0.872680772394922
2078511,2015,0.806428425816482
2078562,2015,0.999434416799911
2078775,2015,0.809661472694892
2078848,2015,0.697528326888475
2079097,2015,0.823278629161229
2079135,2015,0.812680229937545
2079186,2015,0.939070736371931
2079194,2015,0.265822903738721
2079208,2015,0.230598899785211
2079232,2015,0.738219588954192
2079240,2015,0.855256576617275
2079321,2015,0.479136996825292
2079356,2015,0.709258917080053
2079364,2015,0.516972115464088
2079410,2015,0.794434983630752
2079593,2015,0.897933327622979
2079615,2015,0.887465869143332
2079704,2015,0.822395604618629
2079720,2015,0.999431707168484
2079798,2015,0.89742439711506
2079828,2015,0.999433557790029
2079836,2015,0.709295104286383
2079860,2015,0.845605777382884
2079895,2015,0.836368561521904
2079925,2015,0.82569318934085
2080028,2015,0.927472561509053
2080044,2015,0.694851910896013
2080052,2015,0.882306979423559
2080079,2015,0.900888738106815
2080087,2015,0.796992823417629
2080095,2015,0.877296122200434
2080125,2015,0.770034099322449
2080192,2015,0.249001720598264
2080222,2015,0.440467886070954
2080273,2015,0.999432263030987
2080281,2015,0.656141741114159
2080338,2015,0.999434713578517
2080346,2015,0.932083688768551
2080354,2015,0.499900219791666
2080400,2015,0.817343663628081
2080427,2015,0.934604048117102
2080478,2015,0.73492121319077
2080532,2015,0.420406606809867
2080575,2015,0.27877563889805
2080583,2015,0.930999516140046
2080664,2015,0.774706926373834
2080680,2015,0.999433733653921
2080923,2015,0.787095826608189
2080931,2015,0.778741249460539
2080958,2015,0.77622696092495
2081059,2015,0.932033607642533
2081083,2015,0.999432239379712
2081091,2015,0.900970930596007
2081105,2015,0.697043157856683
2081164,2015,0.762498119452446
2081253,2015,0.603754053503285
2081261,2015,0.801246496885865
2081350,2015,0.834249884290269
2081377,2015,0.778362265655194
2081458,2015,0.853561149619214
2081466,2015,0.438622838035551
2081482,2015,0.659955424523283
2081490,2015,0.916332852423469
2081512,2015,0.713466726829138
2081555,2015,0.900000370334789
2081695,2015,0.859885830122783
2081725,2015,0.593184882014905
2081814,2015,0.771893205633977
2081873,2015,0.836909700022008
2081970,2015,0.945084016964494
2082098,2015,0.817537948077942
2082128,2015,0.840671194890387
2082179,2015,0.138978074810451
2082187,2015,0.952480333272728
2082225,2015,0.905513499367538
2082276,2015,0.889543915190615
2082322,2015,0.806528567416625
2082349,2015,0.939425242815077
2082381,2015,0.937280081904599
2082454,2015,0.479209107858241
2082470,2015,0.529939358636845
2082519,2015,0.668063848166133
2082527,2015,0.733584245773006
2082586,2015,0.796043261806832
2082594,2015,0.874782915530922
2082632,2015,0.842266929197103
2082640,2015,0.806902471059629
2082659,2015,0.908563414598252
2082667,2015,0.885075844392048
2082675,2015,0.253360607586837
2082691,2015,0.809766224885659
2082721,2015,0.85307230113036
2082748,2015,0.80142547401986
2082810,2015,0.795722315095809
2082829,2015,0.935651211332534
2082845,2015,0.836725250624412
2082853,2015,0.727833259188862
2082861,2015,0.943068741365661
2082888,2015,0.705459624967274
2082926,2015,0.795520172617594
2083019,2015,0.999434838198697
2083027,2015,0.799008046958357
2083051,2015,0.846479043740821
2083086,2015,0.808099982378747
2083094,2015,0.665081058775574
2083116,2015,0.404549616691868
2083140,2015,0.633009412196327
2083175,2015,0.739617728464074
2083604,2015,0.82593657606037
2083876,2015,0.880911040492116
2083981,2015,0.99943372872728
2084058,2015,0.733462210670194
2084163,2015,0.999433978006623
2084171,2015,0.868554396189294
2084228,2015,0.770685664310847
2084236,2015,0.260549067623622
2084414,2015,0.821945756492452
2084422,2015,0.754521601231325
2084473,2015,0.898570259406431
2085194,2015,0.678621262089056
2087057,2015,0.804363745153719
2087103,2015,0.783215523220587
2087111,2015,0.775303429636432
2087219,2015,0.917543131616104
2087618,2015,0.881880809224302
2087715,2015,0.936721924296733
2087804,2015,0.999434925914741
2088193,2015,0.810987621415367
2088487,2015,0.860541868474493
2088495,2015,0.723014377465037
2088517,2015,0.740938936616899
2088525,2015,0.703546871530445
2088576,2015,0.999429121773224
2089327,2015,0.723791461944798
2089335,2015,0.746115420362179
2089572,2015,0.478190951630986
2089696,2015,0.3767223311383
2089785,2015,0.605269437650174
2090236,2015,0.914648737527961
2090961,2015,0.724679172216804
2091267,2015,0.748521438152982
2091313,2015,0.803611104748101
2091399,2015,0.891418153733397
2091585,2015,0.99943372777349
2091755,2015,0.882322844794836
2092298,2015,0.915273684091792
2092611,2015,0.765794351455396
2093324,2015,0.790877203757665
2093332,2015,0.758884830367317
2096412,2015,0.841099345837329
2096463,2015,0.810114442619831
2096498,2015,0.859246411558078
2097613,2015,0.0577622158499871
2097877,2015,0.885729280249193
2688433,2015,0.832633949473667
2688522,2015,0.62677497947904
2688573,2015,0.904008344080662
2688689,2015,0.920399091030341
2698374,2015,0.775618337259223
2698471,2015,0.91416695501193
2699915,2015,0.511315046143536
2702193,2015,0.871640892769722
2704900,2015,0.786828236871504
2705222,2015,0.850160967953722
2705982,2015,0.920635863860598
2708566,2015,0.0486374742158348
2708779,2015,0.924954693721412
2716097,2015,0.9187636456833
2745798,2015,0.858227891145859
2748029,2015,0.348464880204385
2748223,2015,0.927892665969474
2748568,2015,0.83919963342253
2749319,2015,0.910538628753338
2750511,2015,0.894590406080746
2750546,2015,0.999432503172528
2750988,2015,0.651976360236792
2751003,2015,0.760677383093899
2751038,2015,0.865438680587461
2751046,2015,0.837886331625226
2751623,2015,0.818007564251674
2751704,2015,0.713278044236113
2754843,2015,0.845431918730648
2755092,2015,0.845434526446626
2755130,2015,0.999436545097729
2758245,2015,0.81925862319561
2765934,2015,0.802291401005564
2765942,2015,0.822700777227591
2772310,2015,0.824268394017246
2774720,2015,0.816705324695384
2784602,2015,0.877488255518669
2785188,2015,0.903102236474465
2785382,2015,0.739992319504301
2786435,2015,0.914454398388198
2786680,2015,0.95097066584516
2790556,2015,0.999432037748441
2790564,2015,0.600557158648036
2790580,2015,0.999435203327913
2790602,2015,0.99943355955122
2790610,2015,0.724971055232195
2790637,2015,0.840256583892812
2790734,2015,0.301398248111004
2790998,2015,0.231356593596933
2791676,2015,0.818635062432168
