"variante","n","coef_oss_lambda","ic_lo","ic_hi","replicas"
"principal",3177,-4.66674793547458,-47.032233954283,-0.844432292347895,400
"sem_pandemia",2601,-3.32522609888552,-24.2864239551976,-0.680496326901904,400
"sem_switchers",3122,-5.12775740738266,-57.9511609901126,-1.13101847746435,400
"suporte_comum",2431,-1.54631339806607,-3.77548825532205,-0.636670041164115,400
