"variante","n","coef_oss_inef","ep","p"
"principal",3177,-1297.56087934044,905.588940749349,0.15190457052205
"sem_pandemia",2601,-1971.47249068175,399.994869289561,8.27597413780109e-07
"sem_switchers",3122,-902.248137022585,479.940154821233,0.0601192540300844
"suporte_comum",2431,-771.774817497557,811.246619869911,0.341429644520137
