"chave","modelo_relatorio","coef_freq","ep_freq","coef_hier","ep_hier","ic95_lo_hier","ic95_hi_hier","efeito_pct_hier","ic95_lo_freq","ic95_hi_freq"
"custo","Faturamento real por saída (log)",-0.0866,0.0948,-0.0866315723750067,0.0603412516095635,-0.204900425529751,0.0316372807797379,-8.29851129795994,-0.272408,0.099208
"mortalidade","Mortalidade (geral)",-0.2237,0.1311,-0.262033913071973,0.075264472464995,-0.409552279103363,-0.114515547040583,NA,-0.480656,0.033256
"ocupacao_internacao","Ocupação internação",0.2044,0.0779,0.118015781684322,0.0810977574323815,-0.0409358228831454,0.27696738625179,12.5261869754822,0.051716,0.357084
"producao","Produção (saídas)",0.3629,0.0895,0.281511083660309,0.0718183639534059,0.140747090311634,0.422275077008985,32.5130683538489,0.18748,0.53832
"tmp","TMP (log, sem longa perm.)",-0.108,0.0468,-0.107985204205236,0.0473032572005606,-0.200699588318335,-0.0152708200921372,-10.2359122357621,-0.199728,-0.016272
"uti_parte2","Ocupação UTI (intensidade)",0.2058,0.0747,0.265140611653367,0.106639371078226,0.0561274443400448,0.47415377896669,30.361426624901,0.059388,0.352212
