"especificacao","coef","ep","lo","hi"
"principal",-0.254883286112002,0.0756394412785308,-0.403136591017922,-0.106629981206082
"sem_mundlak",-0.216496487449097,0.0706102239056848,-0.354892526304239,-0.0781004485939547
"re_de_ano",-0.253300745082958,0.0756937877297756,-0.401660569033318,-0.104940921132597
