"ano","spearman"
"2015",0.552279461480333
"2016",0.525087499502844
"2017",0.505135624229408
"2018",0.537943463389413
"2019",0.516750188919381
"2020",0.702612537123888
"2021",0.711521265608109
"2022",0.660055482639303
"2023",0.700602553394583
"2024",0.736665771785388
"2025",0.721685956329794
"agregado",0.616551782446408
