"cnes","ano","categoria","te_bcc_leitos"
8028,2015,"Público Municipal",0.528799554710654
8036,2015,"Público Municipal",0.520022729093969
8052,2015,"Direta",0.288149591577045
8923,2015,"Público Municipal",0.61370197023626
9601,2015,"Filantrópico",0.673546869874593
9628,2015,"Público Municipal",0.916574129889908
2022621,2015,"Filantrópico",0.465501115887106
2022648,2015,"Filantrópico",0.0780814277746793
2023016,2015,"Filantrópico",0.335287221570926
2023474,2015,"Público Municipal",0.436897197970471
2023709,2015,"Filantrópico",0.408850042636131
2024691,2015,"Filantrópico",0.315820726707196
2024756,2015,"Filantrópico",0.487085434815833
2025361,2015,"Público Municipal",0.642357722943691
2025477,2015,"Filantrópico",0.347139084507042
2025507,2015,"Filantrópico",0.471195063670762
2025752,2015,"Filantrópico",0.411000407854105
2026805,2015,"Filantrópico",0.216334010202565
2027186,2015,"Filantrópico",0.652647972000478
2027356,2015,"Público Municipal",0.625559354628313
2028204,2015,"Filantrópico",0.250369696280286
2028239,2015,"Filantrópico",0.375585096423891
2028840,2015,"Direta",0.305642138345385
2040069,2015,"Filantrópico",0.85441429864782
2058308,2015,"Público Municipal",0.260698509110988
2058790,2015,"Público Municipal",0.542440438445511
2065665,2015,"Direta",0.503514853088859
2066092,2015,"OSS",0.917576316615316
2066572,2015,"Direta",0.263887700655154
2069776,2015,"Público Municipal",0.564981614902483
2071371,2015,"Direta",0.430837060655509
2071568,2015,"Filantrópico",0.769711902181692
2075717,2015,"Público Municipal",0.489867029798142
2075962,2015,"Filantrópico",0.740979781458632
2076896,2015,"Filantrópico",0.668073917883839
2076926,2015,"Direta",0.705927603830494
2076985,2015,"Filantrópico",0.112463953860942
2077388,2015,"Filantrópico",0.81589722751852
2077396,2015,"Filantrópico",1
2077426,2015,"OSS",0.980510792748757
2077434,2015,"OSS",0.607468923713513
2077450,2015,"Público Municipal",0.627672825410006
2077477,2015,"Filantrópico",0.757123302778351
2077485,2015,"Filantrópico",0.619108772654221
2077493,2015,"Direta",0.359092675344861
2077507,2015,"Privado",0.0713256570982166
2077523,2015,"Direta",0.58833930034702
2077531,2015,"Filantrópico",0.308289078947479
2077574,2015,"OSS",0.727761398371497
2077582,2015,"Filantrópico",0.388297338021095
2077590,2015,"Filantrópico",0.437603461975482
2077620,2015,"OSS",0.708732240221646
2077639,2015,"Público Municipal",0.58693935697542
2077647,2015,"Filantrópico",0.257705334511077
2077655,2015,"Filantrópico",0.128064454954505
2077671,2015,"OSS",0.855265711072952
2077701,2015,"Direta",0.625314921063686
2078015,2015,"Filantrópico",1
2078074,2015,"Filantrópico",0.373769262026068
2078104,2015,"OSS",0.811681554242427
2078139,2015,"Filantrópico",0.33630871572088
2078155,2015,"Filantrópico",0.398864454584124
2078252,2015,"Filantrópico",0.48587097973601
2078287,2015,"Direta",0.535088553045757
2078295,2015,"Filantrópico",0.360981991260055
2078325,2015,"Público Municipal",0.81911155399381
2078414,2015,"Filantrópico",0.297168960750135
2078465,2015,"Filantrópico",0.0715547703180212
2078473,2015,"Público Municipal",0.387975171433014
2078503,2015,"Filantrópico",0.421870680387037
2078511,2015,"Filantrópico",0.234275618374558
2078562,2015,"OSS",0.715796933311235
2078775,2015,"Filantrópico",0.551497277676951
2078848,2015,"Filantrópico",0.351683072062219
2079097,2015,"Filantrópico",0.411529862663686
2079135,2015,"Filantrópico",0.367707655364046
2079186,2015,"Público Municipal",0.746816999132698
2079194,2015,"Direta",0.106927539529064
2079208,2015,"Filantrópico",0.0887664382293017
2079232,2015,"Filantrópico",0.309875177365138
2079240,2015,"Direta",0.3681701947374
2079321,2015,"Filantrópico",0.241411506010869
2079356,2015,"Filantrópico",0.231786439502749
2079364,2015,"Filantrópico",0.114398052799101
2079410,2015,"Direta",0.330672402246498
2079593,2015,"Filantrópico",0.634146341463415
2079615,2015,"Público Municipal",0.363253217906367
2079704,2015,"Filantrópico",0.384151643382992
2079720,2015,"OSS",0.467870115966158
2079798,2015,"Direta",0.827538252525567
2079828,2015,"OSS",0.694130993494499
2079836,2015,"Filantrópico",0.296938366237355
2079860,2015,"Filantrópico",0.49730433166016
2079895,2015,"Filantrópico",0.426350195399523
2079925,2015,"Filantrópico",0.477872279083177
2080028,2015,"Público Municipal",0.521323891281376
2080044,2015,"Filantrópico",0.249753780198135
2080052,2015,"Filantrópico",0.708879702167508
2080079,2015,"Direta",0.423556393505198
2080087,2015,"Filantrópico",0.304372544965888
2080095,2015,"Filantrópico",0.48707507082153
2080125,2015,"Filantrópico",1
2080192,2015,"Direta",0.0668538816921822
2080222,2015,"Filantrópico",0.20364036867428
2080273,2015,"OSS",0.572618887307145
2080281,2015,"Filantrópico",0.1729854403921
2080338,2015,"OSS",0.786553478764673
2080346,2015,"Público Municipal",0.513349896016775
2080354,2015,"Filantrópico",0.195900417483499
2080400,2015,"Filantrópico",0.606400999405271
2080427,2015,"Público Municipal",0.774574049803407
2080478,2015,"Filantrópico",0.148467697404749
2080532,2015,"Filantrópico",0.239496430627929
2080575,2015,"Filantrópico",0.829920241431343
2080583,2015,"Público Municipal",0.555478545193857
2080664,2015,"Filantrópico",0.292447353142978
2080680,2015,"OSS",0.711466365777693
2080923,2015,"Filantrópico",0.339935214516698
2080931,2015,"Filantrópico",0.426583481763494
2080958,2015,"Filantrópico",0.251114491005402
2081059,2015,"Público Municipal",0.664394829612221
2081083,2015,"OSS",0.49996669553054
2081091,2015,"Público Municipal",0.486693401385345
2081105,2015,"Filantrópico",0.197059992054033
2081164,2015,"Filantrópico",0.381697725775832
2081253,2015,"Filantrópico",0.352862337902161
2081261,2015,"Filantrópico",0.432061978545888
2081350,2015,"Filantrópico",0.386430246189918
2081377,2015,"Filantrópico",0.523259564555148
2081458,2015,"Filantrópico",0.625498758077616
2081466,2015,"Filantrópico",0.123672896165958
2081482,2015,"Filantrópico",0.460084311929991
2081490,2015,"Público Municipal",0.643933490167417
2081512,2015,"Filantrópico",0.2936168849631
2081555,2015,"Filantrópico",0.473850078787424
2081695,2015,"Direta",0.557100558122473
2081725,2015,"Direta",0.154001246194295
2081814,2015,"Filantrópico",0.252830916012143
2081873,2015,"Filantrópico",0.369279957370279
2081970,2015,"Público Municipal",0.736524854667975
2082098,2015,"Filantrópico",0.509874585555716
2082128,2015,"Filantrópico",0.624191506030682
2082179,2015,"Filantrópico",0.00901654582636178
2082187,2015,"Filantrópico",1
2082225,2015,"Direta",0.506090969797601
2082276,2015,"Filantrópico",0.220994080606782
2082322,2015,"Filantrópico",0.413774787535411
2082349,2015,"Público Municipal",0.701459814439557
2082381,2015,"Público Municipal",0.693455313159747
2082454,2015,"Filantrópico",0.137991003451149
2082470,2015,"Filantrópico",0.105548897934628
2082519,2015,"Filantrópico",0.274961699860121
2082527,2015,"Filantrópico",0.528946905815438
2082586,2015,"Filantrópico",0.278282532239156
2082594,2015,"Público Municipal",0.414187972784964
2082632,2015,"Filantrópico",0.280628087508821
2082640,2015,"Filantrópico",0.312199294344061
2082659,2015,"Filantrópico",0.092149034629161
2082667,2015,"Filantrópico",0.356834083515308
2082675,2015,"Filantrópico",0.130011420328184
2082691,2015,"Filantrópico",0.33690583612941
2082721,2015,"Filantrópico",0.509853058434901
2082748,2015,"Filantrópico",0.392084499872741
2082810,2015,"Filantrópico",0.298829142074733
2082829,2015,"Público Municipal",0.662655771298208
2082845,2015,"Filantrópico",0.373782639378969
2082853,2015,"Filantrópico",0.306445087709271
2082861,2015,"Público Municipal",0.811995443514437
2082888,2015,"Filantrópico",0.399087677326734
2082926,2015,"Filantrópico",0.426057044366222
2083019,2015,"OSS",0.484586508929587
2083027,2015,"Filantrópico",0.141200201714574
2083051,2015,"Filantrópico",0.372540363269425
2083086,2015,"Filantrópico",0.858606074876384
2083094,2015,"Direta",0.330058939096267
2083116,2015,"Filantrópico",0.288782402794764
2083140,2015,"Filantrópico",0.267067014221137
2083175,2015,"Filantrópico",0.340753298444756
2083604,2015,"Filantrópico",0.495605862088261
2083876,2015,"Filantrópico",0.348342740737597
2083981,2015,"OSS",0.780076394206343
2084058,2015,"Filantrópico",0.275869236022447
2084163,2015,"OSS",0.672625497509848
2084171,2015,"Filantrópico",0.606164383561644
2084228,2015,"Filantrópico",0.428427707736237
2084236,2015,"Direta",0.131736097154833
2084414,2015,"Filantrópico",0.562422577842549
2084422,2015,"Filantrópico",0.22416091820764
2084473,2015,"Público Municipal",0.446939976461358
2085194,2015,"Filantrópico",0.337897097009687
2087057,2015,"Filantrópico",0.557889072727036
2087103,2015,"Filantrópico",0.351746547522339
2087111,2015,"Filantrópico",0.397229890393771
2087219,2015,"Público Municipal",0.492569277694854
2087618,2015,"Público Municipal",0.415874597577802
2087715,2015,"Público Municipal",0.7343165309267
2087804,2015,"OSS",0.666477078830622
2088193,2015,"Filantrópico",0.444534227563455
2088487,2015,"Filantrópico",0.275922953451043
2088495,2015,"Filantrópico",0.689413274405356
2088517,2015,"Direta",0.392334299989518
2088525,2015,"Filantrópico",0.164943990475675
2088576,2015,"OSS",0.511817010611576
