variavel,media,variancia,razao_var_media_pool,razao_var_media_ano_min,razao_var_media_ano_max,razao_var_media_intra_cnes_mediana
qtde,7347.38,45915729.77,6249.27,5302.3,7758.52,101.87
qtde_sem_covid,7272.15,45513317.8,6258.58,5110.79,7758.52,113.96
