cnes,nome_referencia,municipio,anos_presentes,de_possiveis,anos_faltantes
9636,,Sao Jose Dos Campos,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
2077469,,Sao Paulo,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
2078589,,Sao Paulo,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
2079569,,Campos do Jordão,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
2080656,,Tupa,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
2082683,,Aracatuba,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
2089084,,Sao Paulo,1,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
2089777,,Sao Paulo,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
2096625,,Presidente Prudente,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
4943309,,Barueri,1,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
5171946,Hospital Sao Lucas Ribeirania,Ribeirao Preto,1,11,"2015, 2016, 2017, 2018, 2019, 2020, 2022, 2023, 2024, 2025"
6585019,,São Paulo,1,11,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
6817203,Hospital De Clinicas Caieiras,Caieiras,1,11,"2015, 2016, 2017, 2018, 2019, 2020, 2022, 2023, 2024, 2025"
