etapa,cnes,nome_referencia,motivo,anos_removidos
ETAPA A,7992890,Hospital Dia Capela Do Socorro,hospital dia (tipo 62),9
ETAPA A,9265732,,hospital dia (tipo 62),2
ETAPA A,9403345,,hospital dia (tipo 62),2
ETAPA A,9404236,,hospital dia (tipo 62),1
ETAPA A,9462023,,hospital dia (tipo 62),1
ETAPA A,9898565,Hoftalmed,hospital dia (tipo 62),7
ETAPA A,9950931,,hospital dia (tipo 62),4
ETAPA B,8087,Pronto Socorro Conrado Cesarino Nuvolini,mediana de leitos = 21.0 (corte: > 50),11
ETAPA B,8141,Pronto Socorro Dr Antonio Flavio Franca,mediana de leitos = 10.0 (corte: > 50),11
ETAPA B,8494,Upa Bangu,mediana de leitos = 31.0 (corte: > 50),10
ETAPA B,21520,Upa Vila Luzita,mediana de leitos = 30.0 (corte: > 50),11
ETAPA B,24228,Upa Central Emilio Pires Magalhaes,mediana de leitos = 24.0 (corte: > 50),10
ETAPA B,26417,Hospital De Clinicas Sul,mediana de leitos = 43.0 (corte: > 50),11
ETAPA B,34053,HOSPITAL ESTADUAL DE COVID 19 AME CAMPINAS,mediana de leitos = 0.0 (corte: > 50),2
ETAPA B,89621,HOSPITAL DE CAMPANHA COVID 19 EMBU DAS ARTES,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,102040,HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,102172,HOSPITAL DE CAMPANHA COVID 19 CENTRO DE COMBATE AO CORONA,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,102571,HOSPITAL DE CAMPANHA COVID 19 AFIP,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,102741,Hospital De Campanha Covid 19 Araraquara,mediana de leitos = 36.0 (corte: > 50),2
ETAPA B,102792,Hospital De Campanha Covid 19 Upa Central,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,102806,HOSPITAL DE CAMPANHA COVID 19 UPA ZONA LESTE,mediana de leitos = 0.0 (corte: > 50),2
ETAPA B,103462,Hospital De Campanha Covid 19,mediana de leitos = 8.0 (corte: > 50),3
ETAPA B,103608,Hospital De Campanha Covid 19 Cotia,mediana de leitos = 36.0 (corte: > 50),1
ETAPA B,104892,Hospital De Campanha Covid 19 Fernao Dias,mediana de leitos = 0.0 (corte: > 50),3
ETAPA B,105120,Hospital De Campanha Posto Avancado Covid 19,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,105589,Hospital De Campanha Covid 19 Falcao,mediana de leitos = 47.5 (corte: > 50),2
