cnes,ano,nome_fantasia,municipio,porte_hospital,faixa_complex,pct_alta_complex
8036,2015,,Osasco,Grande Porte,4.0,0.0
8087,2015,,Osasco,HPP,,0.0
8141,2015,,Osasco,HPP,,0.0
8478,2015,,Osasco,Médio Porte,,0.0
8494,2015,,Santo Andre,HPP,,0.0
9636,2015,,Sao Jose Dos Campos,Médio Porte,,0.0
21520,2015,,Santo Andre,HPP,,0.0
26417,2015,,Sao Jose Dos Campos,HPP,2.0,0.0
2022648,2015,,Campinas,Médio Porte,3.0,0.0
2023016,2015,,Cajuru,Médio Porte,2.0,0.0
