cnes,ano,municipio,qtde,qtde_covid,qtde_sem_covid,mort_all,tmp,custo_saida
2097613,2021,Sao Jose Do Rio Preto,4.0,1.0,3.0,0.0,0.0,2166.9633
2097613,2020,Sao Jose Do Rio Preto,13.0,0.0,13.0,0.0,1.2308,3166.9362
