ano,custo_saida,custo_real_2025,fator_ipca
2015,866.15,1427.31,1.6479
2016,879.45,1363.47,1.5504
2017,882.36,1328.77,1.5059
2018,903.01,1310.72,1.4515
2019,934.26,1300.04,1.3915
2020,1023.02,1361.99,1.3313
2021,1050.43,1270.66,1.2097
2022,1176.37,1345.12,1.1435
2023,1197.21,1308.5,1.093
2024,1266.82,1320.79,1.0426
2025,1283.46,1283.46,1.0
