modelo,coef_oss_real,dp_placebos,p_permutacao,B
"Faturamento real por saída (log, EF)",-0.08663,0.10803,0.395,1999
"TMP (log, EF, sem longa permanência)",-0.10799,0.08169,0.1525,1999
