cnes,ano,nome_fantasia,municipio,porte_hospital,faixa_complex,tmp
2043351,2015,,Catanduva,HPP,2.0,0.0
2091577,2015,,Sao Paulo,HPP,,0.0
2091658,2015,,Sao Paulo,HPP,2.0,0.0
2688638,2015,,Sao Paulo,HPP,2.0,0.0
2701561,2015,,Jundiai,HPP,2.0,0.0
2751933,2015,,Sao Paulo,HPP,2.0,0.0
5851084,2015,,Diadema,HPP,2.0,0.0
6971199,2015,,Itapeva,HPP,2.0,0.0
6992560,2015,,Jundiai,HPP,,0.0
7019076,2015,,Sao Paulo,HPP,2.0,0.0
