indicador,n_interior,beta_unica_a,beta_unica_b,aic_beta_unica,convergiu,w_comp1,a1,b1,media_comp1,a2,b2,media_comp2,aic_mistura,ganho_aic
mort_all,3403,1.6148,29.319,-13772.1089,True,0.1685,1.5606,213.0568,0.0073,5.5625,84.5575,0.0617,-14895.7718,1123.6629
mort_sem_excl,3400,1.6252,29.4918,-13766.9873,True,0.167,1.5983,219.7961,0.0072,5.5389,84.2853,0.0617,-14884.0444,1117.0571
