cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,pct_covid_qtde,pct_covid_valor,faixa_complex_barcelona,pont_barcelona
2075962,2015,,Filantrópico,Grande Porte,194,129,169,105,25,24,32794,5342,85.56816699282453,60.981735159817354,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,11738.0,303.0,302.0,32794.0,11048435.659999954,109.0,0.0,0.0,0.0,2483,0,0.025813596864883284,0.025728403475890272,2.7938319986369056,941.253676946665,0.009286079400238541,,,3.0,155.0
2076896,2015,,Filantrópico,Grande Porte,171,148,156,148,15,0,40854,0,75.62754535357276,0.0,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,9791.0,240.0,240.0,40854.0,4523459.6800000165,1.0,0.0,0.0,0.0,2619,0,0.02451230722091717,0.02451230722091717,4.172607496680625,462.001805739967,0.0001021346134204882,,,3.0,241.0
2076926,2015,,Direta,Grande Porte,246,246,218,218,28,28,58057,5829,72.96342842779943,57.03522504892368,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,13075.0,259.0,259.0,58057.0,10255307.60999997,110.0,0.0,0.0,0.0,3562,0,0.019808795411089868,0.019808795411089868,4.440305927342256,784.3447502868046,0.008413001912045888,,,4.0,385.0
2076942,2015,,Filantrópico,HPP,14,7,14,7,0,0,690,0,27.00587084148728,0.0,352350,Itatinga,05 HOSPITAL GERAL,N/A,1,143.0,9.0,9.0,690.0,52922.39999999994,0.0,0.0,0.0,0.0,107,0,0.06293706293706294,0.06293706293706294,4.825174825174825,370.0867132867129,0.0,,,2.0,7.0
2076985,2015,,Filantrópico,Médio Porte,89,89,89,89,0,0,27656,0,85.1346775434816,0.0,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,936.0,3.0,3.0,27656.0,1952648.9399999976,0.0,0.0,0.0,0.0,29,0,0.003205128205128205,0.003205128205128205,29.54700854700855,2086.1633974358947,0.0,,,2.0,89.0
2077078,2015,,Público Municipal,HPP,48,48,48,48,0,0,10134,0,57.842465753424655,0.0,351500,Embu Das Artes,05 HOSPITAL GERAL,N/A,1,2941.0,84.0,84.0,10134.0,1368963.5400000005,0.0,0.0,0.0,0.0,714,0,0.02856171370282217,0.02856171370282217,3.44576674600476,465.4755321319281,0.0,,,2.0,79.0
2077124,2015,,Público Municipal,HPP,17,17,17,17,0,0,1073,0,17.292506043513296,0.0,351060,Carapicuiba,15 UNIDADE MISTA,-,1,382.0,0.0,0.0,1073.0,136307.63999999996,0.0,0.0,0.0,0.0,95,0,0.0,0.0,2.8089005235602094,356.826282722513,0.0,,,,
2077310,2015,,Filantrópico,HPP,2,2,2,2,0,0,8059,0,1103.972602739726,0.0,351840,Guaratingueta,62 HOSPITAL/DIA - ISOLADO,-,1,213.0,0.0,0.0,8059.0,229349.88,0.0,0.0,0.0,0.0,35,0,0.0,0.0,37.83568075117371,1076.76,0.0,,,,
2077388,2015,,Filantrópico,Médio Porte,114,98,104,88,10,10,24209,2127,75.37048567870485,58.273972602739725,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,8701.0,14.0,13.0,24209.0,6049655.709999989,0.0,0.0,0.0,0.0,230,0,0.0016090104585679806,0.0014940811400988392,2.782323870819446,695.2828077232489,0.0,,,3.0,165.0
2077396,2015,,Filantrópico,Especial,846,591,648,464,198,127,210286,36630,124.1650921114785,79.0206018768202,354980,Sao Jose Do Rio Preto,05 HOSPITAL GERAL,N/A,1,41530.0,2360.0,2360.0,210286.0,102912596.98000035,7238.0,0.0,0.0,0.0,12619,0,0.05682639056104021,0.05682639056104021,5.063472188779196,2478.0302667950964,0.17428365037322419,,,6.0,1563.0
2077418,2015,,Direta,Médio Porte,136,136,136,136,0,0,30285,0,61.00926672038678,0.0,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,006 PSIQUIATRIA,1,1190.0,0.0,0.0,30285.0,1501471.8099999994,0.0,0.0,0.0,0.0,81,0,0.0,0.0,25.449579831932773,1261.7410168067222,0.0,,,3.0,136.0
2077426,2015,,OSS,Grande Porte,195,195,164,164,31,31,62329,8842,104.12462412295356,78.14405656208572,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,15583.0,657.0,657.0,62329.0,16870011.12999996,15.0,0.0,0.0,0.0,4378,0,0.04216132965411025,0.04216132965411025,3.999807482512995,1082.5907161650491,0.0009625874350253481,,,4.0,397.0
