cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid,qtde_obito_all_covid,qtde_obito_sem_excl_covid,qtde_alta_complex_covid,mort_all_com_covid,mort_sem_excl_com_covid,tmp_com_covid,custo_saida_com_covid,pct_alta_complex_com_covid,qtde_sem_covid,dias_sem_covid,valor_sem_covid,mort_all,mort_sem_excl,tmp,custo_saida,pct_alta_complex,pont_barcelona,faixa_barcelona,complexidade_estrutural,complexidade_pond_mort,modelo_gestao_proxy
2023709,2015,,Filantrópico,Médio Porte,117,66,99,60,18,6,18728,1615,85.51598173515981,73.74429223744292,352340.0,Itatiba,05 HOSPITAL GERAL,,1,4475.0,291.0,290.0,18728.0,3545216.710000005,0.0,0.0,0.0,0.0,1864,0,0.0,0.0,0.0,0.06502793296089386,0.06480446927374302,4.185027932960894,792.2271977653643,0.0,4475.0,18728.0,3545216.710000005,0.06502793296089386,0.06480446927374302,4.185027932960894,792.2271977653643,0.0,203,3,203,461.71984945443677,Filantrópico
2024691,2015,,Filantrópico,Médio Porte,126,87,116,77,10,10,17418,1713,61.974737591175945,46.93150684931507,351340.0,Cruzeiro,05 HOSPITAL GERAL,,1,3723.0,275.0,275.0,17418.0,2706908.519999998,0.0,0.0,0.0,0.0,1581,0,0.0,0.0,0.0,0.0738651625033575,0.0738651625033575,4.678485092667204,727.0772280419012,0.0,3723.0,17418.0,2706908.519999998,0.0738651625033575,0.0738651625033575,4.678485092667204,727.0772280419012,0.0,217,3,217,531.1471716962789,Filantrópico
2024756,2015,,Filantrópico,Médio Porte,70,66,65,61,5,5,12187,1500,54.73613294408264,82.1917808219178,350850.0,Cacapava,05 HOSPITAL GERAL,,1,3187.0,245.0,245.0,12187.0,2665582.79,5.0,0.0,0.0,0.0,1426,0,0.0,0.0,0.0,0.0768748038908064,0.0768748038908064,3.8239723878255414,836.3924662692187,0.0015688735487919673,3187.0,12187.0,2665582.79,0.0768748038908064,0.0768748038908064,3.8239723878255414,836.3924662692187,0.0015688735487919673,183,3,183,458.72038308276575,Filantrópico
2025361,2015,,Público Municipal,Médio Porte,138,138,119,119,19,19,35378,6856,81.45044319097502,98.86085075702955,354870.0,Sao Bernardo Do Campo,05 HOSPITAL GERAL,,1,7898.0,426.0,426.0,35378.0,12435361.779999994,941.0,0.0,0.0,0.0,3510,0,0.0,0.0,0.0,0.05393770574829071,0.05393770574829071,4.479361863762978,1574.4950341858691,0.11914408711066092,7898.0,35378.0,12435361.779999994,0.05393770574829071,0.05393770574829071,4.479361863762978,1574.4950341858691,0.11914408711066092,150,3,150,308.5687093652983,Público Municipal
2025477,2015,,Filantrópico,Médio Porte,81,52,74,49,7,3,8499,818,47.52026838132513,74.70319634703196,352430.0,Jaboticabal,05 HOSPITAL GERAL,,1,2629.0,133.0,133.0,8499.0,1717335.4000000015,3.0,0.0,0.0,0.0,1265,0,0.0,0.0,0.0,0.05058957778623051,0.05058957778623051,3.2327881323697225,653.2276150627621,0.0011411182959300114,2629.0,8499.0,1717335.4000000015,0.05058957778623051,0.05058957778623051,3.2327881323697225,653.2276150627621,0.0011411182959300114,135,3,135,268.85314690432375,Filantrópico
2025507,2015,,Filantrópico,Grande Porte,193,189,169,165,24,24,59562,8282,98.89912826899128,94.54337899543378,352900.0,Marilia,05 HOSPITAL GERAL,,1,7440.0,787.0,787.0,59562.0,14279385.26000005,676.0,0.0,0.0,0.0,3462,0,0.0,0.0,0.0,0.10577956989247311,0.10577956989247311,8.005645161290323,1919.272212365598,0.09086021505376345,7440.0,59562.0,14279385.26000005,0.10577956989247311,0.10577956989247311,8.005645161290323,1919.272212365598,0.09086021505376345,591,5,591,1816.245286037285,Filantrópico
2025752,2015,,Filantrópico,Especial,654,392,573,342,81,50,86793,11271,69.52895938476328,61.75890410958904,354850.0,Santos,05 HOSPITAL GERAL,,1,14108.0,587.0,586.0,86793.0,25333068.50000001,979.0,0.0,0.0,0.0,4656,0,0.0,0.0,0.0,0.0416075985256592,0.041536716756450244,6.152041394953218,1795.6527147717616,0.06939325205557131,14108.0,86793.0,25333068.50000001,0.0416075985256592,0.041536716756450244,6.152041394953218,1795.6527147717616,0.06939325205557131,527,4,527,956.7511307548718,Filantrópico
2026805,2015,,Filantrópico,Médio Porte,72,65,72,65,0,0,4189,0,17.656480505795574,0.0,351860.0,Guariba,05 HOSPITAL GERAL,,1,1456.0,52.0,52.0,4189.0,669084.2899999992,0.0,0.0,0.0,0.0,639,0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,2.8770604395604398,459.5359134615379,0.0,1456.0,4189.0,669084.2899999992,0.03571428571428571,0.03571428571428571,2.8770604395604398,459.5359134615379,0.0,111,3,111,188.69600882458695,Filantrópico
2027186,2015,,Filantrópico,Grande Porte,182,140,162,122,20,18,36336,6244,81.59892207500562,95.03805175038052,352240.0,Itapeva,05 HOSPITAL GERAL,,1,9935.0,554.0,554.0,36336.0,9485802.26,156.0,0.0,0.0,0.0,2717,0,0.0,0.0,0.0,0.055762455963764467,0.055762455963764467,3.6573729240060393,954.7863371917464,0.015702063412179165,9935.0,36336.0,9485802.26,0.055762455963764467,0.055762455963764467,3.6573729240060393,954.7863371917464,0.015702063412179165,307,4,307,642.5166148327252,Filantrópico
2027356,2015,,Público Municipal,Médio Porte,147,118,118,89,29,29,35471,6844,109.19193473911037,64.65753424657534,354870.0,Sao Bernardo Do Campo,05 HOSPITAL GERAL,,1,8394.0,42.0,42.0,35471.0,8897324.129999995,113.0,0.0,0.0,0.0,814,0,0.0,0.0,0.0,0.005003573981415297,0.005003573981415297,4.225756492732905,1059.9623695496778,0.013461996664284012,8394.0,35471.0,8897324.129999995,0.005003573981415297,0.005003573981415297,4.225756492732905,1059.9623695496778,0.013461996664284012,285,4,285,312.94852856893556,Público Municipal
2028204,2015,,Filantrópico,Médio Porte,94,66,84,58,10,8,9247,2208,43.67973547472839,75.61643835616438,353130.0,Monte Alto,05 HOSPITAL GERAL,,1,2201.0,136.0,136.0,9247.0,2168609.2,2.0,0.0,0.0,0.0,1142,0,0.0,0.0,0.0,0.061790095411176735,0.061790095411176735,4.201272149023171,985.2835983643799,0.0009086778736937755,2201.0,9247.0,2168609.2,0.061790095411176735,0.061790095411176735,4.201272149023171,985.2835983643799,0.0009086778736937755,186,3,186,411.25040091665556,Filantrópico
2028239,2015,,Filantrópico,Médio Porte,58,52,58,52,0,0,4806,0,25.321390937829293,0.0,355430.0,Teodoro Sampaio,05 HOSPITAL GERAL,,1,2006.0,44.0,44.0,4806.0,644279.3899999999,0.0,0.0,0.0,0.0,896,0,0.0,0.0,0.0,0.02193419740777667,0.02193419740777667,2.395812562313061,321.1761665004984,0.0,2006.0,4806.0,644279.3899999999,0.02193419740777667,0.02193419740777667,2.395812562313061,321.1761665004984,0.0,72,2,72,102.95194940752589,Filantrópico
2028840,2015,,Direta,Grande Porte,160,160,143,143,17,17,52472,5095,100.5307021745378,82.11120064464141,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,3617.0,286.0,286.0,52472.0,6505283.079999995,1453.0,0.0,0.0,0.0,1373,0,0.0,0.0,0.0,0.0790710533591374,0.0790710533591374,14.507050041470832,1798.5300193530538,0.40171412773016313,3617.0,52472.0,6505283.079999995,0.0790710533591374,0.0790710533591374,14.507050041470832,1798.5300193530538,0.40171412773016313,459,4,459,1170.3182846475406,Direta
2040069,2015,,Filantrópico,Médio Porte,122,122,100,100,22,22,38256,6141,104.81095890410958,76.47571606475717,351880.0,Guarulhos,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,9752.0,54.0,53.0,38256.0,10215593.510000017,0.0,0.0,0.0,0.0,574,0,0.0,0.0,0.0,0.005537325676784249,0.005434782608695652,3.922887612797375,1047.5383008613635,0.0,9752.0,38256.0,10215593.510000017,0.005537325676784249,0.005434782608695652,3.922887612797375,1047.5383008613635,0.0,228,3,228,252.7439299105684,Filantrópico
2058308,2015,,Público Municipal,Médio Porte,53,53,53,53,0,0,4548,0,23.509950891703284,0.0,353340.0,Nova Odessa,05 HOSPITAL GERAL,,1,1259.0,90.0,90.0,4548.0,533581.7999999992,0.0,0.0,0.0,0.0,639,0,0.0,0.0,0.0,0.07148530579825259,0.07148530579825259,3.6123907863383637,423.8139793486888,0.0,1259.0,4548.0,533581.7999999992,0.07148530579825259,0.07148530579825259,3.6123907863383637,423.8139793486888,0.0,97,2,97,232.9008822752366,Público Municipal
2058790,2015,,Público Municipal,Médio Porte,118,116,105,105,13,11,32529,2972,84.87671232876713,74.02241594022416,350160.0,Americana,05 HOSPITAL GERAL,,1,5988.0,447.0,446.0,32529.0,4826865.030000006,86.0,0.0,0.0,0.0,2024,0,0.0,0.0,0.0,0.0746492985971944,0.07448229792919171,5.432364729458918,806.0896843687384,0.014362057448229793,5988.0,32529.0,4826865.030000006,0.0746492985971944,0.07448229792919171,5.432364729458918,806.0896843687384,0.014362057448229793,291,4,291,716.7478691866049,Público Municipal
2065665,2015,,Direta,Médio Porte,110,92,100,82,10,10,17431,1747,58.239224858002,47.86301369863013,355030.0,Sao Paulo,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,5181.0,29.0,29.0,17431.0,4633269.080000005,0.0,0.0,0.0,0.0,245,0,0.0,0.0,0.0,0.005597375024126616,0.005597375024126616,3.364408415363829,894.2808492569011,0.0,5181.0,17431.0,4633269.080000005,0.005597375024126616,0.005597375024126616,3.364408415363829,894.2808492569011,0.0,160,3,160,177.55246642094963,Direta
2066092,2015,,OSS,Grande Porte,239,239,208,208,31,31,78536,6723,103.44573234984192,59.41670349094123,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,16664.0,781.0,781.0,78536.0,12970375.50999999,2.0,0.0,0.0,0.0,3751,0,0.0,0.0,0.0,0.04686749879980797,0.04686749879980797,4.7129140662506,778.3470661305803,0.00012001920307249159,16664.0,78536.0,12970375.50999999,0.04686749879980797,0.04686749879980797,4.7129140662506,778.3470661305803,0.00012001920307249159,507,4,507,972.7077860754295,OSS
2066572,2015,,Direta,Grande Porte,364,364,350,350,14,14,48635,2588,38.07045009784736,50.64579256360079,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,6169.0,645.0,645.0,48635.0,4783509.830000012,479.0,0.0,0.0,0.0,2651,0,0.0,0.0,0.0,0.10455503323066948,0.10455503323066948,7.883773707245907,775.410898038582,0.07764629599610957,6169.0,48635.0,4783509.830000012,0.10455503323066948,0.10455503323066948,7.883773707245907,775.410898038582,0.07764629599610957,429,4,429,1308.095383062662,Direta
2069776,2015,,Público Municipal,Grande Porte,170,170,155,155,15,15,45200,5461,79.89394608926204,99.74429223744292,354870.0,Sao Bernardo Do Campo,05 HOSPITAL GERAL,,1,8251.0,414.0,414.0,45200.0,8169937.410000009,0.0,0.0,0.0,0.0,2550,0,0.0,0.0,0.0,0.05017573627439098,0.05017573627439098,5.478123863774088,990.1754223730468,0.0,8251.0,45200.0,8169937.410000009,0.05017573627439098,0.05017573627439098,5.478123863774088,990.1754223730468,0.0,417,4,417,827.0752625134744,Público Municipal
2071371,2015,,Direta,Médio Porte,137,137,123,123,14,14,28788,3774,64.12295355830271,73.85518590998043,355030.0,Sao Paulo,07 HOSPITAL ESPECIALIZADO,001 PEDIATRIA,1,5014.0,35.0,34.0,28788.0,6712308.609999984,1073.0,0.0,0.0,0.0,875,0,0.0,0.0,0.0,0.0069804547267650575,0.006781013163143199,5.741523733546071,1338.7133246908622,0.2140007977662545,5014.0,28788.0,6712308.609999984,0.0069804547267650575,0.006781013163143199,5.741523733546071,1338.7133246908622,0.2140007977662545,222,3,222,252.3717944348206,Direta
2071568,2015,,Filantrópico,Especial,508,452,363,307,145,145,112467,42179,100.36767658739012,79.69579593764762,355030.0,Sao Paulo,07 HOSPITAL ESPECIALIZADO,,1,12576.0,731.0,731.0,112467.0,90288913.63000016,6795.0,0.0,0.0,0.0,4181,0,0.0,0.0,0.0,0.058126590330788805,0.058126590330788805,8.942986641221374,7179.461961673041,0.5403148854961832,12576.0,112467.0,90288913.63000016,0.058126590330788805,0.058126590330788805,8.942986641221374,7179.461961673041,0.5403148854961832,992,6,992,2122.1088684242495,Filantrópico
2075717,2015,,Público Municipal,Médio Porte,89,81,80,72,9,9,18760,2806,71.38508371385083,85.4185692541857,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,4077.0,56.0,56.0,18760.0,4213454.850000003,0.0,0.0,0.0,0.0,674,0,0.0,0.0,0.0,0.013735589894530291,0.013735589894530291,4.601422614667648,1033.469426048566,0.0,4077.0,18760.0,4213454.850000003,0.013735589894530291,0.013735589894530291,4.601422614667648,1033.469426048566,0.0,120,3,120,152.30444798094845,Público Municipal
2075962,2015,,Filantrópico,Grande Porte,194,129,169,105,25,24,32794,5342,85.56816699282453,60.98173515981736,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,11738.0,303.0,302.0,32794.0,11048435.659999954,109.0,0.0,0.0,0.0,2483,0,0.0,0.0,0.0,0.025813596864883284,0.025728403475890272,2.7938319986369056,941.253676946665,0.009286079400238541,11738.0,32794.0,11048435.659999954,0.025813596864883284,0.025728403475890272,2.7938319986369056,941.253676946665,0.009286079400238541,155,3,155,233.41767902854082,Filantrópico
2076896,2015,,Filantrópico,Grande Porte,171,148,156,148,15,0,40854,0,75.62754535357276,0.0,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,9791.0,240.0,240.0,40854.0,4523459.6800000165,1.0,0.0,0.0,0.0,2619,0,0.0,0.0,0.0,0.02451230722091717,0.02451230722091717,4.172607496680625,462.001805739967,0.0001021346134204882,9791.0,40854.0,4523459.6800000165,0.02451230722091717,0.02451230722091717,4.172607496680625,462.001805739967,0.0001021346134204882,241,3,241,356.7803868524183,Filantrópico
2076926,2015,,Direta,Grande Porte,246,246,218,218,28,28,58057,5829,72.96342842779943,57.03522504892368,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,13075.0,259.0,259.0,58057.0,10255307.60999997,110.0,0.0,0.0,0.0,3562,0,0.0,0.0,0.0,0.019808795411089868,0.019808795411089868,4.440305927342256,784.3447502868046,0.008413001912045888,13075.0,58057.0,10255307.60999997,0.019808795411089868,0.019808795411089868,4.440305927342256,784.3447502868046,0.008413001912045888,385,4,385,534.4694920561717,Direta
2076985,2015,,Filantrópico,Médio Porte,89,89,89,89,0,0,27656,0,85.1346775434816,0.0,355030.0,Sao Paulo,05 HOSPITAL GERAL,,1,936.0,3.0,3.0,27656.0,1952648.9399999976,0.0,0.0,0.0,0.0,29,0,0.0,0.0,0.0,0.003205128205128205,0.003205128205128205,29.54700854700855,2086.1633974358947,0.0,936.0,27656.0,1952648.9399999976,0.003205128205128205,0.003205128205128205,29.54700854700855,2086.1633974358947,0.0,89,2,89,94.59073844972484,Filantrópico
2077388,2015,,Filantrópico,Médio Porte,114,98,104,88,10,10,24209,2127,75.37048567870485,58.273972602739725,355030.0,Sao Paulo,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,8701.0,14.0,13.0,24209.0,6049655.709999989,0.0,0.0,0.0,0.0,230,0,0.0,0.0,0.0,0.0016090104585679806,0.0014940811400988392,2.782323870819446,695.2828077232489,0.0,8701.0,24209.0,6049655.709999989,0.0016090104585679806,0.0014940811400988392,2.782323870819446,695.2828077232489,0.0,165,3,165,170.20327253549016,Filantrópico
