cod_ibge7,cod_ibge6,lon,lat
3515004,351500,-46.85129,-23.65397
3515103,351510,-46.82838,-23.85671
3515129,351512,-51.49664,-21.79139
3515152,351515,-47.16279,-22.48259
3515186,351518,-46.79685,-22.19149
3515194,351519,-49.42398,-22.66042
3515202,351520,-50.4083,-20.26675
3515301,351530,-51.65987,-22.46707
3515350,351535,-52.57681,-22.51201
3515400,351540,-49.51567,-23.3914
3515509,351550,-50.27713,-20.27977
3515608,351560,-48.69612,-21.32236
3515657,351565,-49.53043,-22.36485
3515707,351570,-46.3748,-23.57818
3515806,351580,-51.37432,-21.70139
3515905,351590,-50.15199,-20.64212
3516002,351600,-51.17452,-21.5551
3516101,351610,-50.6836,-22.87254
3516200,351620,-47.37537,-20.57449
3516309,351630,-46.73186,-23.2707
3516408,351640,-46.73798,-23.30608
3516507,351650,-50.57104,-21.48922
3516606,351660,-49.58122,-22.33808
3516705,351670,-49.69743,-22.23219
3516804,351680,-50.20527,-20.80617
3516853,351685,-48.46255,-21.79412
3516903,351690,-50.42394,-20.63409
3517000,351700,-50.03251,-21.7724
3517109,351710,-50.19745,-21.31311
3517208,351720,-49.77062,-21.56879
3517307,351730,-49.86459,-21.8671
3517406,351740,-48.37691,-20.30763
3517505,351750,-49.17344,-20.73601
3517604,351760,-48.55754,-24.21593
3517703,351770,-47.78487,-20.47926
3517802,351780,-51.28591,-21.08095
3517901,351790,-48.98677,-20.38516
3518008,351800,-50.3479,-20.06368
3518107,351810,-49.57153,-21.91235
3518206,351820,-50.71765,-21.31819
3518305,351830,-46.06027,-23.43246
3518404,351840,-45.22188,-22.82198
3518503,351850,-48.2182,-23.36735
3518602,351860,-48.24582,-21.38425
3518701,351870,-46.24854,-23.95301
3518800,351880,-46.43808,-23.40309
3518859,351885,-47.98584,-21.43825
3518909,351890,-50.72745,-20.63066
3519006,351900,-50.37494,-21.95742
3519055,351905,-47.06895,-22.61551
3519071,351907,-47.21499,-22.88229
3519105,351910,-49.04423,-21.89713
3519204,351920,-50.63709,-21.7954
3519253,351925,-49.11239,-22.82432
3519303,351930,-48.01685,-21.92235
3519402,351940,-49.22329,-21.08275
3519501,351950,-50.07729,-22.79662
3519600,351960,-48.83865,-21.79191
3519709,351970,-47.21131,-23.79531
3519808,351980,-49.19014,-20.35959
3519907,351990,-51.06094,-22.63347
3520004,352000,-48.59605,-22.53508
3520103,352010,-47.68762,-20.06365
3520202,352020,-46.14273,-23.12287
3520301,352030,-47.50718,-24.55109
3520400,352040,-45.31289,-23.8647
3520426,352042,-47.70329,-24.8534
3520442,352044,-51.27,-20.48896
3520509,352050,-47.18739,-23.11611
3520608,352060,-51.26763,-22.12956
3520707,352070,-50.25544,-19.95277
3520806,352080,-50.94911,-21.72741
