cnes,ano,qtde_obito_all_covid,qtde_obito_sem_excl_covid,qtde_alta_complex_covid
2078503,2020,7.0,7.0,0.0
2078511,2020,8.0,8.0,0.0
2078538,2020,28.0,28.0,0.0
2078562,2020,202.0,202.0,0.0
2078775,2020,120.0,120.0,0.0
2078848,2020,22.0,22.0,0.0
2078902,2020,3.0,3.0,0.0
2079011,2020,75.0,75.0,0.0
2079097,2020,18.0,18.0,0.0
2079135,2020,75.0,75.0,0.0
2079186,2020,0.0,0.0,0.0
2079216,2020,10.0,10.0,0.0
2079224,2020,0.0,0.0,0.0
2079232,2020,33.0,33.0,0.0
2079240,2020,253.0,253.0,0.0
2079283,2020,0.0,0.0,0.0
2079313,2020,0.0,0.0,0.0
2079321,2020,0.0,0.0,0.0
2079348,2020,12.0,12.0,0.0
2079356,2020,3.0,3.0,0.0
2079364,2020,6.0,6.0,0.0
2079380,2020,3.0,3.0,0.0
2079399,2020,0.0,0.0,0.0
2079410,2020,108.0,108.0,0.0
2079437,2020,0.0,0.0,0.0
2079461,2020,2.0,2.0,0.0
2079496,2020,2.0,2.0,0.0
2079518,2020,2.0,2.0,0.0
2079593,2020,20.0,20.0,0.0
2079615,2020,13.0,13.0,0.0
2079690,2020,0.0,0.0,0.0
2079704,2020,2.0,2.0,0.0
2079720,2020,83.0,83.0,0.0
2079798,2020,139.0,139.0,0.0
2079828,2020,16.0,16.0,0.0
2079836,2020,13.0,13.0,0.0
2079852,2020,0.0,0.0,0.0
2079879,2020,4.0,4.0,0.0
2079895,2020,88.0,88.0,0.0
2079917,2020,15.0,15.0,0.0
2079925,2020,20.0,20.0,0.0
2079976,2020,4.0,4.0,0.0
2080028,2020,109.0,109.0,0.0
2080044,2020,28.0,28.0,0.0
2080052,2020,13.0,13.0,0.0
2080079,2020,122.0,122.0,0.0
2080087,2020,7.0,7.0,0.0
2080125,2020,26.0,26.0,0.0
2080184,2020,21.0,21.0,0.0
2080192,2020,0.0,0.0,0.0
2080222,2020,0.0,0.0,0.0
2080273,2020,267.0,267.0,0.0
2080281,2020,2.0,2.0,0.0
2080338,2020,298.0,298.0,0.0
2080346,2020,139.0,139.0,0.0
2080354,2020,29.0,29.0,0.0
2080370,2020,3.0,3.0,0.0
2080400,2020,125.0,125.0,0.0
2080427,2020,0.0,0.0,0.0
2080443,2020,16.0,16.0,0.0
2080451,2020,8.0,8.0,0.0
2080478,2020,0.0,0.0,0.0
2080508,2020,1.0,1.0,0.0
2080524,2020,7.0,7.0,0.0
2080532,2020,66.0,66.0,0.0
2080575,2020,22.0,22.0,0.0
2080583,2020,327.0,327.0,0.0
2080664,2020,59.0,59.0,0.0
2080680,2020,230.0,230.0,0.0
2080745,2020,5.0,5.0,0.0
2080788,2020,28.0,28.0,0.0
2080826,2020,0.0,0.0,0.0
2080842,2020,0.0,0.0,0.0
2080907,2020,0.0,0.0,0.0
2080915,2020,0.0,0.0,0.0
2080923,2020,22.0,22.0,0.0
2080931,2020,83.0,83.0,0.0
2080958,2020,1.0,1.0,0.0
2080982,2020,0.0,0.0,0.0
2081059,2020,51.0,51.0,0.0
2081083,2020,19.0,19.0,0.0
2081091,2020,51.0,51.0,0.0
2081164,2020,98.0,98.0,0.0
2081229,2020,0.0,0.0,0.0
2081253,2020,46.0,46.0,0.0
2081261,2020,2.0,2.0,0.0
2081296,2020,1.0,1.0,0.0
2081350,2020,7.0,7.0,0.0
2081377,2020,86.0,86.0,0.0
2081385,2020,1.0,1.0,0.0
2081393,2020,0.0,0.0,0.0
2081431,2020,2.0,2.0,0.0
2081458,2020,91.0,91.0,0.0
2081466,2020,0.0,0.0,0.0
2081482,2020,0.0,0.0,0.0
2081490,2020,157.0,157.0,0.0
2081512,2020,15.0,15.0,0.0
2081555,2020,14.0,14.0,0.0
2081644,2020,26.0,26.0,0.0
2081660,2020,2.0,2.0,0.0
2081695,2020,84.0,84.0,0.0
2081717,2020,1.0,1.0,0.0
2081768,2020,6.0,6.0,0.0
2081784,2020,0.0,0.0,0.0
2081814,2020,4.0,4.0,0.0
2081873,2020,27.0,27.0,0.0
2081903,2020,6.0,6.0,0.0
2081946,2020,27.0,27.0,0.0
2081970,2020,34.0,34.0,0.0
2081989,2020,5.0,5.0,0.0
2082098,2020,13.0,13.0,0.0
2082128,2020,39.0,39.0,0.0
2082187,2020,203.0,203.0,0.0
2082195,2020,1.0,1.0,0.0
2082209,2020,0.0,0.0,0.0
2082225,2020,57.0,57.0,0.0
2082284,2020,0.0,0.0,0.0
2082306,2020,3.0,3.0,0.0
2082322,2020,20.0,20.0,0.0
2082349,2020,150.0,150.0,0.0
2082381,2020,2.0,2.0,0.0
2082411,2020,4.0,4.0,0.0
2082438,2020,0.0,0.0,0.0
2082497,2020,2.0,2.0,0.0
2082519,2020,11.0,11.0,0.0
2082527,2020,63.0,63.0,0.0
2082586,2020,0.0,0.0,0.0
2082594,2020,152.0,152.0,0.0
2082624,2020,1.0,1.0,0.0
2082632,2020,14.0,14.0,0.0
2082640,2020,33.0,33.0,0.0
2082691,2020,31.0,31.0,0.0
2082721,2020,48.0,48.0,0.0
2082748,2020,2.0,2.0,0.0
2082756,2020,0.0,0.0,0.0
2082780,2020,1.0,1.0,0.0
